pressure,in_situ_temp,practical_salinity,latitude,longitude,absolute_salinity,conservative_temp,density,sound_speed
1075.2,5.845,34.808,-4.006523333333333,76.29734,34.98092868967459,5.7424760261784575,1032.33364869696,1491.3577521509083
1125.6,5.933,34.861,-4.006523333333333,76.29734,35.0344882868609,5.823923514367287,1032.5892353122354,1492.6041900944308
1174.9,5.596,34.829,-4.006523333333333,76.29734,35.002580268372554,5.485666580259702,1032.8373652551118,1492.0233570771243
1224.8,5.463,34.834,-4.006523333333333,76.29734,35.007851336178106,5.34900985569549,1033.0862108701829,1492.3143257007273
1274.7,5.259,34.824,-4.006523333333333,76.29734,34.99801334872073,5.142364417483322,1033.3337301452796,1492.2972567303066
1324.8,5.092,34.822,-4.006523333333333,76.29734,34.9962082382741,4.972309631433289,1033.5827347847762,1492.4409839342495
1375.0,4.819,34.806,-4.006523333333333,76.29734,34.98032470615807,4.697707642439501,1033.8366166717863,1492.1322338972484
1425.0,4.603,34.798,-4.006523333333333,76.29734,34.97248062723205,4.479530498448578,1034.0872197115623,1492.0588236752385
1474.7,4.48,34.803,-4.006523333333333,76.29734,34.97770502130625,4.353226063824879,1034.3330012806402,1492.3781378465633
1525.0,4.3,34.8,-4.006523333333333,76.29734,34.974875679837794,4.170731283008437,1034.583329086712,1492.459804181274
1575.1,4.115,34.796,-4.006523333333333,76.29734,34.97097787380145,3.983432672290587,1034.8324805905752,1492.5134785269913
1625.2,3.916,34.794,-4.006523333333333,76.29734,34.969085166291755,3.7823979512068737,1035.0850255333262,1492.5084220778754
1671.2,3.756,34.791,-4.006523333333333,76.29734,34.966181969445266,3.6203387090569987,1035.3126105606084,1492.5950874506832
0.5,28.662,33.908,-4.006523333333333,76.29734,34.06817427590386,28.715177484874488,1021.3593986799572,1541.3833862489444
1.5,28.665,33.911,-4.006523333333333,76.29734,34.07118817479978,28.71782254974806,1021.3649452803099,1541.4096654293944
